c79e	0	SEI	A: 0	X: 0	Y: 0	SP: fd
c79f	0	CLD	A: 0	X: 0	Y: 0	SP: fd
c7a0	c7a1	LDA	A: 0	X: 0	Y: 0	SP: fd
c7a2	2000	STA	A: 10	X: 0	Y: 0	SP: fd
c7a5	c7a6	LDX	A: 10	X: 0	Y: 0	SP: fd
c7a7	0	TXS	A: 10	X: ff	Y: 0	SP: fd
c7a8	2002	LDA	A: 10	X: ff	Y: 0	SP: ff
Read from PPU register: 2
c7ab	c7ac	AND	A: 80	X: ff	Y: 0	SP: ff
c7ad	c7a8	BEQ	A: 80	X: ff	Y: 0	SP: ff
c7af	c7b0	LDY	A: 80	X: ff	Y: 0	SP: ff
c7b1	1	STY	A: 80	X: ff	Y: 7	SP: ff
c7b3	c7b4	LDY	A: 80	X: ff	Y: 7	SP: ff
c7b5	0	STY	A: 80	X: ff	Y: 0	SP: ff
c7b7	c7b8	LDA	A: 80	X: ff	Y: 0	SP: ff
c7b9	700	STA	A: 0	X: ff	Y: 0	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 0	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: ff	SP: ff
c7b9	7ff	STA	A: 0	X: ff	Y: ff	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: ff	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: fe	SP: ff
c7b9	7fe	STA	A: 0	X: ff	Y: fe	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: fe	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: fd	SP: ff
c7b9	7fd	STA	A: 0	X: ff	Y: fd	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: fd	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: fc	SP: ff
c7b9	7fc	STA	A: 0	X: ff	Y: fc	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: fc	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: fb	SP: ff
c7b9	7fb	STA	A: 0	X: ff	Y: fb	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: fb	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: fa	SP: ff
c7b9	7fa	STA	A: 0	X: ff	Y: fa	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: fa	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: f9	SP: ff
c7b9	7f9	STA	A: 0	X: ff	Y: f9	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: f9	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: f8	SP: ff
c7b9	7f8	STA	A: 0	X: ff	Y: f8	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: f8	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: f7	SP: ff
c7b9	7f7	STA	A: 0	X: ff	Y: f7	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: f7	SP: ff
